id,timestamp,xraw,yraw,ele
1,2018-07-21 11:29:03,891977.481872553,6407682.17177931,1214.763184
2,2018-07-21 11:36:47,892080.087559609,6407830.23422345,1217.646973
3,2018-07-21 11:36:50,892071.772149479,6407827.64492763,1216.205078
4,2018-07-21 11:38:05,892135.743893522,6407897.84353125,1210.917725
5,2018-07-21 11:42:52,892427.223980809,6408071.61489793,1211.87915
6,2018-07-21 11:44:03,892504.329684629,6408100.88289575,1209.956299
7,2018-07-21 11:45:00,892511.771390601,6408147.22972292,1209.956299
8,2018-07-21 11:46:03,892503.019390444,6408122.84558026,1212.840576
9,2018-07-21 11:49:31,892524.054514704,6408100.71282137,1218.127686
10,2018-07-21 11:51:49,892643.208068652,6408096.71807069,1221.9729
11,2018-07-21 11:52:23,892685.376227601,6408126.35577371,1224.376221
12,2018-07-21 11:53:08,892747.493041048,6408135.71738182,1225.337402
13,2018-07-21 11:53:41,892778.82732393,6408159.68741435,1230.144287
14,2018-07-21 11:55:35,892789.911299271,6408190.58928608,1230.144287
15,2018-07-21 11:56:43,892849.983373775,6408194.33250067,1235.912109
16,2018-07-21 12:02:06,893072.442457322,6408301.88440631,1238.31543
17,2018-07-21 12:02:51,893093.458307867,6408277.86377851,1240.718506
18,2018-07-21 12:03:24,893086.232989855,6408257.97101245,1242.641357
19,2018-07-21 12:04:11,893101.035274713,6408217.20046125,1246.486816
20,2018-07-21 12:05:16,893076.394659716,6408168.87659965,1253.696533
21,2018-07-21 12:08:18,893097.332370869,6408062.84189887,1261.86792
22,2018-07-21 12:10:13,893127.929904117,6408138.7983378,1264.751709
23,2018-07-21 12:13:05,893229.547134956,6408271.62558483,1269.077637
24,2018-07-21 12:13:50,893264.878339985,6408271.273825,1273.403564
25,2018-07-21 12:15:28,893311.240687562,6408339.27328134,1277.249023
26,2018-07-21 12:15:57,893311.286281147,6408360.83331652,1281.094238
27,2018-07-21 12:16:36,893319.410752768,6408349.08301199,1294.072021
28,2018-07-21 12:17:20,893314.266920812,6408318.25280541,1293.591309
29,2018-07-21 12:18:17,893335.45450317,6408263.12272767,1295.994629
30,2018-07-21 12:18:51,893319.182863264,6408241.28281601,1300.801025
31,2018-07-21 12:19:42,893272.561244712,6408232.83932911,1293.110596
32,2018-07-21 12:20:14,893253.227587911,6408207.57106089,1295.033203
33,2018-07-21 12:24:35,893254.277940225,6408163.37502455,1298.878418
34,2018-07-21 12:25:06,893229.894348819,6408142.61795583,1298.397705
35,2018-07-21 12:25:44,893245.302042588,6408143.7612859,1301.762451
36,2018-07-21 12:27:07,893293.061708945,6408199.91323383,1306.088135
37,2018-07-21 12:27:56,893330.000057046,6408206.50142705,1310.895019
38,2018-07-21 12:28:53,893303.222816748,6408188.89267202,1314.740234
39,2018-07-21 12:30:04,893271.624155154,6408132.57381745,1316.182129
40,2018-07-21 12:31:50,893350.428290469,6408163.1273305,1321.949951
41,2018-07-21 12:34:05,893419.925696827,6408156.61066163,1320.027344
42,2018-07-21 12:35:51,893402.59176615,6408158.85220694,1320.508057
43,2018-07-21 12:36:06,893400.824435254,6408187.80165318,1325.314697
44,2018-07-21 12:37:10,893457.550474913,6408256.12307844,1324.834229
45,2018-07-21 12:38:25,893490.086019479,6408323.02900972,1325.314697
46,2018-07-21 12:39:21,893530.415366661,6408363.28381065,1332.043945
47,2018-07-21 12:42:05,893550.490493613,6408431.02647729,1333.48584
48,2018-07-21 12:43:31,893545.809063453,6408515.67135485,1334.927979
49,2018-07-21 12:44:55,893589.806873314,6408570.37560789,1334.927979
50,2018-07-21 12:46:26,893522.725251768,6408621.74924414,1338.292481
51,2018-07-21 12:47:24,893496.085200777,6408686.71117401,1345.021729
52,2018-07-21 12:48:00,893465.489576462,6408710.65598684,1350.309082
53,2018-07-21 12:48:44,893447.088051703,6408755.09250711,1352.231445
54,2018-07-21 12:50:04,893442.603996545,6408835.96512679,1345.021729
55,2018-07-21 12:51:57,893445.92616456,6408802.84107717,1356.076904
56,2018-07-21 12:54:56,893590.112422378,6408660.1756901,1355.596191
57,2018-07-21 12:57:51,893727.49190118,6408606.98183406,1362.325439
58,2018-07-21 12:59:32,893772.502185822,6408565.14937655,1368.093262
59,2018-07-21 12:59:51,893752.761446856,6408565.87060973,1370.977295
60,2018-07-21 13:00:06,893760.009294032,6408556.87185647,1378.667969
61,2018-07-21 13:00:42,893787.935071484,6408598.63285125,1380.590576
62,2018-07-21 13:05:45,893815.25502587,6408560.36364878,1385.877686
63,2018-07-21 13:06:47,893797.778575922,6408536.5958936,1384.435791
64,2018-07-21 13:07:51,893805.168345812,6408507.70983154,1382.032471
65,2018-07-21 13:08:42,893764.651884643,6408486.33900134,1388.761963
66,2018-07-21 13:10:52,893714.401962182,6408405.99149061,1391.645752
67,2018-07-21 13:13:17,893711.647274885,6408379.90232265,1388.761963
68,2018-07-21 13:14:59,893730.406381171,6408318.91957614,1393.568359
69,2018-07-21 13:15:33,893717.30154933,6408271.61753686,1395.010254
70,2018-07-21 13:17:15,893781.925998993,6408202.61144294,1398.855469
71,2018-07-21 13:18:06,893771.940785772,6408172.18624702,1400.778076
72,2018-07-21 13:19:20,893737.191064453,6408140.99305845,1402.219971
73,2018-07-21 13:20:02,893750.944366717,6408131.64037249,1398.855469
74,2018-07-21 13:21:26,893740.456737691,6408096.9768118,1396.452393
75,2018-07-21 13:22:17,893755.738160301,6408063.89028413,1394.529541
76,2018-07-21 13:23:02,893732.525421926,6408041.16722989,1394.049072
77,2018-07-21 13:27:49,893807.209639537,6407913.46459856,1394.529541
78,2018-07-21 13:29:12,893824.019999502,6407859.20029288,1395.010254
79,2018-07-21 13:29:59,893816.480634758,6407818.84941745,1403.181396
80,2018-07-21 13:30:37,893834.587980849,6407771.29299352,1417.120606
81,2018-07-21 13:34:00,893897.641960828,6407796.47515159,1420.004639
82,2018-07-21 13:35:09,893898.098743609,6407812.38055202,1422.888672
83,2018-07-21 13:35:16,893886.505462801,6407810.79836793,1426.733887
84,2018-07-21 13:35:53,893901.885224842,6407835.83482735,1428.175781
85,2018-07-21 13:36:11,893902.787339958,6407819.52709145,1429.617676
86,2018-07-21 13:36:42,893918.264677792,6407818.45167183,1432.020996
87,2018-07-21 13:37:23,893909.632805913,6407828.62974249,1436.347168
88,2018-07-21 13:38:29,893940.752165432,6407833.92962844,1436.347168
89,2018-07-21 13:39:47,893938.386746419,6407808.07463177,1435.866211
90,2018-07-21 13:57:45,893948.236425035,6407799.49018615,1435.866211
91,2018-07-21 13:58:42,893961.595486353,6407843.68912468,1435.866211
92,2018-07-21 13:59:42,893993.403719411,6407888.0164061,1436.827637
93,2018-07-21 14:00:32,894000.253370124,6407935.23601077,1440.672852
94,2018-07-21 14:01:09,894024.033936978,6407947.30948204,1440.192383
95,2018-07-21 14:01:28,894022.93383151,6407936.82933596,1444.037598
96,2018-07-21 14:02:36,894043.670528537,6407939.80703019,1444.998779
97,2018-07-21 14:04:04,894077.953647155,6407906.97801967,1445.960205
98,2018-07-21 14:05:30,894113.93068229,6407944.54553738,1450.766602
99,2018-07-21 14:06:09,894123.408905557,6407975.95573622,1452.20874
100,2018-07-21 14:08:39,894176.618722937,6407953.38346675,1456.053955
101,2018-07-21 14:09:21,894186.446800072,6407920.01727919,1458.457275
102,2018-07-21 14:12:03,894239.357049338,6407940.22033125,1462.783203
103,2018-07-21 14:14:16,894265.109274634,6407975.47057333,1464.705811
104,2018-07-21 14:15:45,894292.86110081,6407969.33251583,1468.070557
105,2018-07-21 14:17:25,894293.334391618,6407982.12690945,1469.512695
106,2018-07-21 14:28:27,894376.071703014,6407954.91827084,1470.473877
107,2018-07-21 14:29:06,894389.607083961,6407911.8884745,1472.396484
108,2018-07-21 14:29:26,894382.8472312,6407884.78525385,1471.915771
109,2018-07-21 14:30:05,894417.357461756,6407867.63410651,1473.838379
110,2018-07-21 14:31:07,894274.512824049,6407736.72742703,1477.203125
111,2018-07-21 14:31:16,894284.302728222,6407745.36642298,1480.567627
112,2018-07-21 14:32:15,894298.963750526,6407724.70807927,1480.086914
113,2018-07-21 14:32:25,894330.828233134,6407744.25742098,1482.970703
114,2018-07-21 14:32:46,894356.839716769,6407715.17316596,1488.258301
115,2018-07-21 14:33:41,894424.617306156,6407728.50583403,1492.103516
116,2018-07-21 14:34:18,894442.167430323,6407716.82793631,1494.987305
117,2018-07-21 14:35:20,894431.579447397,6407682.93784491,1498.832519
118,2018-07-21 14:35:24,894452.746327254,6407664.48259904,1503.158691
119,2018-07-21 14:35:38,894451.247758878,6407628.65280548,1505.562012
120,2018-07-21 14:37:12,894474.268342073,6407591.36358096,1506.523193
121,2018-07-21 14:38:05,894478.364733183,6407548.81799127,1507.003906
122,2018-07-21 14:39:41,894536.983861896,6407505.30267433,1508.926514
123,2018-07-21 14:42:20,894584.135653698,6407448.53989903,1511.329834
124,2018-07-21 14:43:06,894571.610770296,6407415.81162083,1510.368408
125,2018-07-21 14:44:48,894590.761760332,6407337.50715582,1514.213623
126,2018-07-21 14:45:01,894581.127601244,6407298.42345587,1515.175049
127,2018-07-21 14:46:14,894602.416503295,6407258.30247526,1516.617188
128,2018-07-21 14:47:23,894604.44606151,6407216.02590452,1518.539795
129,2018-07-21 14:49:05,894569.733533155,6407178.49489648,1519.020508
130,2018-07-21 14:49:21,894575.517048423,6407155.56035925,1519.981689
131,2018-07-21 14:51:10,894547.442837604,6407080.34153762,1520.462402
132,2018-07-21 14:52:36,894466.704849457,6407012.37388561,1523.346436
133,2018-07-21 14:53:21,894458.788046125,6406958.78604889,1529.594727
134,2018-07-21 14:54:00,894438.103177512,6406956.58657524,1533.920898
135,2018-07-21 14:56:59,894386.882412263,6406897.09526283,1537.2854
136,2018-07-21 14:58:00,894359.572977584,6406904.13586127,1540.649902
137,2018-07-21 14:58:59,894339.000626058,6406877.93657312,1543.533936
138,2018-07-21 15:01:38,894243.604029969,6406843.07669225,1544.495117
139,2018-07-21 15:03:22,894176.69880413,6406852.33234357,1547.859863
140,2018-07-21 15:04:10,894140.177764092,6406826.97169578,1552.666504
141,2018-07-21 15:04:31,894131.27638307,6406830.47349866,1556.511719
142,2018-07-21 15:05:05,894135.21724727,6406859.15580194,1561.318359
143,2018-07-21 15:06:25,894085.513976892,6406845.05437727,1573.81543
144,2018-07-21 15:07:05,894056.765129398,6406819.37999631,1564.202393
145,2018-07-21 15:07:53,894045.419961561,6406837.80828945,1569.970215
146,2018-07-21 15:09:02,894008.97560289,6406845.67803059,1579.583252
147,2018-07-21 15:10:24,893950.874278925,6406808.64688213,1582.947998
148,2018-07-21 15:12:50,893918.10399107,6406746.62067714,1589.196533
149,2018-07-21 15:14:52,893878.44946839,6406743.05653927,1591.119141
150,2018-07-21 15:16:00,893844.192871307,6406759.55197018,1591.599854
151,2018-07-21 15:17:15,893852.672397547,6406708.36285457,1589.196533
152,2018-07-21 15:20:06,893801.508043987,6406713.22126048,1595.445068
153,2018-07-21 15:20:55,893792.964886404,6406700.06549151,1593.041748
154,2018-07-21 15:22:41,893728.694126304,6406754.63664657,1599.290527
155,2018-07-21 15:23:48,893715.217204619,6406696.21018298,1600.251953
156,2018-07-21 15:25:25,893738.219584615,6406623.69011271,1602.655029
157,2018-07-21 15:37:42,893708.614664313,6406648.55397189,1602.174316
158,2018-07-21 15:38:42,893697.741852826,6406621.10177462,1605.05835
159,2018-07-21 15:40:15,893635.494345384,6406671.73601834,1610.826172
160,2018-07-21 15:42:45,893530.207090336,6406707.9246807,1614.190918
161,2018-07-21 15:43:16,893506.741607916,6406728.97900075,1616.113525
162,2018-07-21 15:44:46,893491.558667225,6406769.0704193,1614.190918
163,2018-07-21 15:45:22,893442.019695079,6406787.98413881,1613.710205
164,2018-07-21 15:46:48,893369.632514035,6406759.40648448,1617.074951
165,2018-07-21 15:47:59,893283.518943563,6406777.63426999,1621.881348
166,2018-07-21 15:48:55,893208.873941488,6406750.32219459,1626.687988
167,2018-07-21 15:50:18,893100.669693318,6406750.31138028,1632.456055
168,2018-07-21 15:51:44,893028.855536295,6406623.6299954,1634.859375
169,2018-07-21 15:53:32,892987.016827865,6406480.42811765,1635.820557
170,2018-07-21 15:54:00,892993.283827841,6406459.61858303,1640.146484
171,2018-07-21 15:55:51,892936.601264089,6406453.31208443,1641.588379
172,2018-07-21 15:56:48,892878.446924471,6406481.85465758,1643.991699
173,2018-07-21 15:57:53,892847.919509294,6406534.14248264,1645.914551
174,2018-07-21 15:58:15,892860.849046074,6406551.5439798,1648.317627
175,2018-07-21 15:58:49,892827.632369371,6406585.74626507,1651.682373
176,2018-07-21 15:59:30,892783.447834698,6406603.16351097,1655.046875
177,2018-07-21 16:00:06,892762.698809069,6406644.08500876,1658.89209
178,2018-07-21 16:00:55,892704.625775557,6406670.0756838,1661.295654
179,2018-07-21 16:01:41,892656.553043901,6406659.48097883,1662.737549
180,2018-07-21 16:02:10,892631.352353962,6406698.37646733,1664.660156
181,2018-07-21 16:03:20,892550.58528478,6406705.11078011,1667.063477
182,2018-07-21 16:04:38,892463.522614889,6406751.65794656,1669.947266
183,2018-07-21 16:05:12,892451.269669407,6406802.28785516,1672.831299
184,2018-07-21 16:05:54,892463.54998069,6406840.78262892,1673.792481
185,2018-07-21 16:06:46,892521.831377924,6406820.79708855,1676.676758
186,2018-07-21 16:07:10,892550.022333901,6406828.77782939,1679.560547
187,2018-07-21 16:07:45,892559.877329058,6406853.41832647,1682.925049
188,2018-07-21 16:08:52,892501.520852731,6406875.84598517,1683.886475
189,2018-07-21 16:09:18,892480.360761439,6406912.19943029,1685.809082
190,2018-07-21 16:10:08,892464.71100432,6406957.39055674,1691.096191
191,2018-07-21 16:11:45,892473.998113886,6406943.89687581,1692.538574
192,2018-07-21 16:12:07,892503.12308758,6406944.682936,1694.94165
193,2018-07-21 16:12:31,892522.705394815,6406954.39865112,1697.825684
194,2018-07-21 16:12:52,892525.500219502,6406979.37719966,1700.709473
195,2018-07-21 16:13:44,892495.248038596,6407040.89851136,1702.151367
196,2018-07-21 16:15:25,892421.202002429,6407138.18753284,1705.516113
197,2018-07-21 16:16:41,892425.330772974,6407227.8829034,1706.958008
198,2018-07-21 16:18:07,892403.045624878,6407326.54399482,1711.28418
199,2018-07-21 16:18:32,892390.812003911,6407363.72814078,1714.167969
200,2018-07-21 16:18:52,892366.32652089,6407379.53213545,1716.571289
201,2018-07-21 16:20:11,892309.98193076,6407470.58847085,1718.493896
202,2018-07-21 16:21:04,892311.524432673,6407525.97702317,1719.455322
203,2018-07-21 16:21:43,892294.702674227,6407581.02259956,1722.339111
204,2018-07-21 16:23:01,892183.095087383,6407617.4831001,1723.781006
205,2018-07-21 16:23:55,892209.046201159,6407638.95092824,1723.781006
206,2018-07-21 16:25:22,892110.48867564,6407688.92707537,1726.18457
207,2018-07-21 16:26:07,892055.872802164,6407705.91723449,1725.703857
208,2018-07-21 16:28:20,892034.975049959,6407697.82941733,1726.665283
209,2018-07-21 16:30:45,891976.453649812,6407723.36808087,1729.549072
